Y.29-05.A2,Y.06-09.A2,0x111816,3040645,3-10-30,14,Pixel L1/2,L4,old,no,On Development Slice,12,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112508,3040589,3-10-30,6,Pixel L1/2,L2,new,no,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112510,3040591,3-10-30,12,Pixel L1/2,L2,new,no,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-09.A2,0x120210,3040582,3-10-30,4,Pixel L1/2 EC,D1,,no,,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130010,3040561,3-10-30,2,Pixel BL,B1,,no,On Development Slice,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130011,3040562,3-10-30,10,Pixel BL,B1,,no,On Development Slice,4,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140161,3040701,3-10-30,0,IBL,,,no,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140171,3040705,3-10-30,8,IBL,,,no,,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-09.A2,0x230102,3040410,3-10-30,5,SCT,,,no,,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-09.A2,0x230103,3040411,3-10-30,7,SCT,,,no,,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-09.A2,0x230104,3040412,3-10-30,13,SCT,,,no,On Tomoya's DF,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-09.A2,0x230107,3040415,3-10-30,15,SCT,,,no,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.29-05.A2,Y.06-09.A2,0x111815,3040644,3-3-5,14,Pixel L1/2,L4,old,no,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112505,3040586,3-3-5,6,Pixel L1/2,L2,new,no,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112549,3040608,3-3-5,12,Pixel L1/2,,new,no,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-09.A2,0x120211,3040583,3-3-5,4,Pixel L1/2 EC,D1,,no,,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130005,3040556,3-3-5,10,Pixel BL,B1,,no,,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130121,3040553,3-3-5,2,Pixel BL,B2,,no,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140142,3040694,3-3-5,0,IBL,,,no,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140152,3040698,3-3-5,8,IBL,,,no,,,,,,,,,,,,,,,,,
Y.25-14.A2,Y.06-09.A2,0x240009,3040435,3-3-5,5,SCT,,,no,,,,,,,,,,,,,,,,,
Y.25-14.A2,Y.06-09.A2,0x24000a,3040436,3-3-5,7,SCT,,,no,,,,,,,,,,,,,,,,,
