Y.28-05.A2,Y.06-09.A2,0x111720,3040633,4-10-24,6,Pixel L1/2,L3,old,yes,,,,,,,,,,,,,,,,,
Y.28-05.A2,Y.06-09.A2,0x111760,3040639,4-10-24,14,Pixel L1/2,L3,old,no,,,,,,,,,,,,,,,,,
Y.29-05.A2,Y.06-09.A2,0x111820,3040649,4-10-24,12,Pixel L1/2,L4,old,yes,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-09.A2,0x120206,3040578,4-10-24,4,Pixel L1/2 EC,D1,,yes,,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130020,3040570,4-10-24,2,Pixel BL,B1,,yes,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-09.A2,0x130318,3040575,4-10-24,10,Pixel BL,B3,,yes,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140181,3040709,4-10-24,0,IBL,,,no,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140201,3040717,4-10-24,8,IBL,,,no,,,,,,,,,,,,,,,,,
Y.23-11.A2,Y.06-09.A2,0x220000,3040390,4-10-24,5,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-09.A2,0x23010b,3040419,4-10-24,7,SCT,,,yes,The sheathing of this fibre has come off and must be taped over.,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-09.A2,0x23010d,3040421,4-10-24,9,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-09.A2,0x23010f,3040423,4-10-24,13,SCT,,,yes,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.28-05.A2,Y.06-09.A2,0x111719,3040632,4-3-7,10,Pixel L1/2,L3,old,no,On ATLAS Slice,,,,,,,,,,,,,,,,
Y.28-05.A2,Y.06-09.A2,0x111759,3040638,4-3-7,12,Pixel L1/2,L3,old,no,,,,,,,,,,,,,,,,,
Y.29-05.A2,Y.06-09.A2,0x111819,3040648,4-3-7,14,Pixel L1/2,L4,old,no,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-09.A2,0x120207,3040579,4-3-7,4,Pixel L1/2 EC,D1,,yes,,,,,,,,,,,,,,,,,
Y.28-05.A2,Y.06-09.A2,0x121609,3040625,4-3-7,6,Pixel L1/2 EC,D2,,yes,,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130021,3040571,4-3-7,2,Pixel BL,B1,,no,On Tomoya's DF,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140192,3040714,4-3-7,0,IBL,,,no,,,,,,,,,,,,,,,,,
Y.25-14.A2,Y.06-09.A2,0x240001,3040427,4-3-7,5,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.25-14.A2,Y.06-09.A2,0x240003,3040429,4-3-7,7,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.25-14.A2,Y.06-09.A2,0x240004,3040430,4-3-7,13,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.25-14.A2,Y.06-09.A2,0x240005,3040431,4-3-7,15,SCT,,,yes,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112417,3040599,4-4-15,4,Pixel L1/2,L1,new,no,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112419,3040601,4-4-15,6,Pixel L1/2,L1,new,no,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112457,3040617,4-4-15,12,Pixel L1/2,,new,no,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112547,3040606,4-4-15,10,Pixel L1/2,,new,no,,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130017,3040567,4-4-15,2,Pixel BL,B1,,yes,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140183,3040711,4-4-15,0,IBL,,,no,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140193,3040715,4-4-15,8,IBL,,,no,,,,,,,,,,,,,,,,,
Y.23-11.A2,Y.06-09.A2,0x220001,3040391,4-4-15,5,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.23-11.A2,Y.06-09.A2,0x220002,3040392,4-4-15,7,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.23-11.A2,Y.06-09.A2,0x220003,3040393,4-4-15,13,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.25-14.A2,Y.06-09.A2,0x240000,3040426,4-4-15,15,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130014,3040564,4-4-15,14,Pixel BL,B1,,,On ATLAS Slice,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112416,3040598,4-5-23,4,Pixel L1/2,L1,new,no,,,,,,,,,,,,,,,,,
Y.29-05.A2,Y.06-09.A2,0x111859,3040656,4-5-23,6,Pixel L1/2,L4,old,no,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112418,3040600,4-5-23,10,Pixel L1/2,L1,new,no,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112456,3040616,4-5-23,14,Pixel L1/2,,new,no,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112545,3040604,4-5-23,12,Pixel L1/2,,new,no,,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130016,3040566,4-5-23,2,Pixel BL,B1,,yes,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140180,3040708,4-5-23,0,IBL,,,no,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140190,3040712,4-5-23,8,IBL,,,no,,,,,,,,,,,,,,,,,
Y.22-11.A2,Y.06-09.A2,0x210000,3040372,4-5-23,5,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.22-11.A2,Y.06-09.A2,0x210001,3040373,4-5-23,7,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.22-11.A2,Y.06-09.A2,0x210002,3040374,4-5-23,13,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.22-11.A2,Y.06-09.A2,0x210003,3040375,4-5-23,15,SCT,,,yes,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.28-05.A2,Y.06-09.A2,0x111718,3040631,4-6-31,14,Pixel L1/2,L3,old,no,On Development Slice,,,,,,,,,,,,,,,,
Y.29-05.A2,Y.06-09.A2,0x111818,3040647,4-6-31,12,Pixel L1/2,L4,old,yes,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-09.A2,0x120208,3040580,4-6-31,4,Pixel L1/2 EC,D1,,yes,,,,,,,,,,,,,,,,,
Y.28-05.A2,Y.06-09.A2,0x121610,3040626,4-6-31,6,Pixel L1/2 EC,D2,,yes,,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130015,3040565,4-6-31,10,Pixel BL,B1,,no,On Development Slice,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130019,3040569,4-6-31,2,Pixel BL,B1,,no,On Tomoya's DF,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140191,3040713,4-6-31,0,IBL,,,no,,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-09.A2,0x230108,3040416,4-6-31,5,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-09.A2,0x230109,3040417,4-6-31,7,SCT,,,no,On Tomoya's DF,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-09.A2,0x23010a,3040418,4-6-31,13,SCT,,,no,On Tomoya's DF,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-09.A2,0x23010c,3040420,4-6-31,15,SCT,,,yes,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.28-05.A2,Y.06-09.A2,0x111716,3040629,4-7-0,14,Pixel L1/2,L3,old ,no,On Development Slice,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.28-05.A2,Y.06-09.A2,0x111721,3040634,4-7-0,6,Pixel L1/2,L3,old,no,,,,,,,,,,,,,,,,,
Y.28-05.A2,Y.06-09.A2,0x111761,3040640,4-7-0,14,Pixel L1/2,L3,old,no,,,,,,,,,,,,,,,,,
Y.29-05.A2,Y.06-09.A2,0x111821,3040650,4-7-0,4,Pixel L1/2,L4,old,no,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-09.A2,0x120205,3040577,4-7-0,12,Pixel L1/2 EC,D1,,yes,,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130018,3040568,4-7-0,10,Pixel BL,B1,,no,On Tomoya's DF,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-09.A2,0x130105,3040554,4-7-0,2,Pixel BL,B2,,yes,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140182,3040710,4-7-0,0,IBL,,,no,,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-09.A2,0x23010e,3040422,4-7-0,5,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.25-14.A2,Y.06-09.A2,0x240002,3040428,4-7-0,13,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.25-14.A2,Y.06-09.A2,0x240006,3040432,4-7-0,15,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.25-14.A2,Y.06-09.A2,0x240007,3040433,4-7-0,7,SCT,,,yes,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112421,3040603,4-8-8,4,Pixel L1/2,L1,new,no,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112459,3040622,4-8-8,6,Pixel L1/2,,new,no,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112461,3040624,4-8-8,12,Pixel L1/2,,new,no,,,,,,,,,,,,,,,,,
Y.29-05.A2,Y.06-09.A2,0x111858,3040655,4-8-8,14,Pixel L1/2,L4,old,no,,,,,,,,,,,,,,,,,
Y.27-05.A2,Y.06-09.A2,0x112509,3040590,4-8-8,2,Pixel L1/2,L2,new,no,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-09.A2,0x130319,3040576,4-8-8,10,Pixel BL,B3,,yes,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140202,3040718,4-8-8,0,IBL,,,no,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-09.A2,0x140203,3040719,4-8-8,8,IBL,,,no,,,,,,,,,,,,,,,,,
Y.23-11.A2,Y.06-09.A2,0x220004,3040394,4-8-8,5,SCT,,,yes,,,,,,,,,,,,,,,,,
Y.23-11.A2,Y.06-09.A2,0x220005,3040395,4-8-8,7,SCT,,,yes,,,,,,,,,,,,,,,,,
