Y.29-05.A2,Y.06-07.A2,0x111809,3040538,1-10-26,14,Pixel L1/2,L4,old,yes,,,,,,,,,,,,,,,,,,
Y.28-05.A2,Y.06-07.A2,0x111707,3040480,1-10-26,4,Pixel L1/2,L3,old,yes,,,,,,,,,,,,,,,,,,
Y.28-05.A2,Y.06-07.A2,0x111711,3040515,1-10-26,6,Pixel L1/2,L3,old,yes,,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-07.A2,0x120219,3040463,1-10-26,12,Pixel L1/2 EC,D1,,yes,,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-07.A2,0x130312,3040471,1-10-26,10,Pixel BL,B3,,yes,,,,,,,,,,,,,,,,,,
Y.25-05.A2,Y.06-07.A2,0x130107,3040448,1-10-26,2,Pixel BL,B2,,yes,,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-07.A2,0x140071,3040666,1-10-26,8,IBL,,(missing?),yes,,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-07.A2,0x140081,3040670,1-10-26,0,IBL,,,yes,,,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-07.A2,0x230009,3040347,1-10-26,15,SCT,,,yes,,,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-07.A2,0x23000a,3040348,1-10-26,5,SCT,,,yes,,,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-07.A2,0x23000c,3040350,1-10-26,7,SCT,,,yes,,,,,,,,,,,,,,,,,,
Y.24-14.A2,Y.06-07.A2,0x23000e,3040352,1-10-26,13,SCT,,,yes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.29-05.A2,Y.06-07.A2,0x111806,3040535,1-3-1,6,Pixel L1/2,L4,old,yes,,,,,,,,,,,,,,,,,,
Y.29-05.A2,Y.06-07.A2,0x111808,3040537,1-3-1,12,Pixel L1/2,L4,old,yes,,,,,,,,,,,,,,,,,,
Y.28-05.A2,Y.06-07.A2,0x121616,3040521,1-3-1,14,Pixel L1/2 EC,D2,,yes,,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-07.A2,0x120220,3040464,1-3-1,4,Pixel L1/2 EC,D1,,yes,,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-07.A2,0x130310,3040469,1-3-1,2,Pixel BL,B3,,yes,,,,,,,,,,,,,,,,,,
Y.26-05.A2,Y.06-07.A2,0x130311,3040470,1-3-1,10,Pixel BL,B3,,yes,,,,,,,,,,,,,,,,,,
Y.16-14.A2,Y.06-07.A2,0x140072,3040667,1-3-1,0,IBL,,,yes,,,,,,,,,,,,,,,,,,
